code_article,code_site,date,ventes
43,Site1,2026-06-29,67.25
43,Site1,2026-07-06,54.0
43,Site1,2026-07-13,54.0
43,Site1,2026-07-20,54.0
43,Site1,2026-07-27,54.0
43,Site1,2026-08-03,67.75
43,Site1,2026-08-10,67.75
43,Site1,2026-08-17,67.75
43,Site1,2026-08-24,67.75
43,Site1,2026-08-31,67.75
43,Site1,2026-09-07,54.4
43,Site1,2026-09-14,54.4
43,Site1,2026-09-21,54.4
43,Site1,2026-09-28,54.4
43,Site1,2026-10-05,68.0
43,Site1,2026-10-12,68.0
43,Site1,2026-10-19,68.0
43,Site1,2026-10-26,68.0
43,Site1,2026-11-02,68.25
43,Site1,2026-11-09,68.25
43,Site1,2026-11-16,68.25
43,Site1,2026-11-23,68.25
43,Site1,2026-11-30,68.25
43,Site1,2026-12-07,54.8
43,Site1,2026-12-14,54.8
43,Site1,2026-12-21,54.8
43,Site1,2026-12-28,54.8
62,Site1,2026-02-09,12.75
62,Site1,2026-02-16,12.75
62,Site1,2026-02-23,12.75
62,Site1,2026-03-02,12.75
62,Site1,2026-03-09,12.75
62,Site1,2026-03-16,12.75
62,Site1,2026-03-23,12.75
62,Site1,2026-03-30,12.75
62,Site1,2026-04-06,10.2
62,Site1,2026-04-13,10.2
62,Site1,2026-04-20,10.2
62,Site1,2026-04-27,10.2
62,Site1,2026-05-04,12.75
62,Site1,2026-05-11,12.75
62,Site1,2026-05-18,12.75
62,Site1,2026-05-25,12.75
62,Site1,2026-06-01,12.75
62,Site1,2026-06-08,12.75
62,Site1,2026-06-15,12.75
62,Site1,2026-06-22,12.75
62,Site1,2026-06-29,12.75
62,Site1,2026-07-06,10.2
62,Site1,2026-07-13,10.2
62,Site1,2026-07-20,10.2
62,Site1,2026-07-27,10.2
62,Site1,2026-08-03,12.75
62,Site1,2026-08-10,12.75
62,Site1,2026-08-17,12.75
62,Site1,2026-08-24,12.75
62,Site1,2026-08-31,12.75
62,Site1,2026-09-07,10.2
62,Site1,2026-09-14,10.2
62,Site1,2026-09-21,10.2
62,Site1,2026-09-28,10.2
62,Site1,2026-10-05,12.75
62,Site1,2026-10-12,12.75
62,Site1,2026-10-19,12.75
62,Site1,2026-10-26,12.75
62,Site1,2026-11-02,12.75
62,Site1,2026-11-09,12.75
62,Site1,2026-11-16,12.75
62,Site1,2026-11-23,12.75
62,Site1,2026-11-30,12.75
62,Site1,2026-12-07,11.13
62,Site1,2026-12-14,11.13
62,Site1,2026-12-21,11.13
62,Site1,2026-12-28,11.13
364,Site1,2026-02-09,32.25
364,Site1,2026-02-16,32.25
364,Site1,2026-02-23,32.25
364,Site1,2026-03-02,47.5
364,Site1,2026-03-09,47.5
364,Site1,2026-03-16,47.5
364,Site1,2026-03-23,47.5
364,Site1,2026-03-30,47.5
364,Site1,2026-04-06,48.2
364,Site1,2026-04-13,48.2
364,Site1,2026-04-20,48.2
364,Site1,2026-04-27,48.2
364,Site1,2026-05-04,60.5
364,Site1,2026-05-11,60.5
364,Site1,2026-05-18,60.5
364,Site1,2026-05-25,60.5
364,Site1,2026-06-01,48.0
364,Site1,2026-06-08,48.0
364,Site1,2026-06-15,48.0
364,Site1,2026-06-22,48.0
364,Site1,2026-06-29,48.0
364,Site1,2026-07-06,38.6
364,Site1,2026-07-13,38.6
364,Site1,2026-07-20,38.6
364,Site1,2026-07-27,38.6
364,Site1,2026-08-03,48.5
364,Site1,2026-08-10,48.5
364,Site1,2026-08-17,48.5
364,Site1,2026-08-24,48.5
364,Site1,2026-08-31,48.5
364,Site1,2026-09-07,39.0
364,Site1,2026-09-14,39.0
364,Site1,2026-09-21,39.0
364,Site1,2026-09-28,39.0
364,Site1,2026-10-05,49.0
364,Site1,2026-10-12,49.0
364,Site1,2026-10-19,49.0
364,Site1,2026-10-26,49.0
364,Site1,2026-11-02,49.0
364,Site1,2026-11-09,49.0
364,Site1,2026-11-16,49.0
364,Site1,2026-11-23,49.0
364,Site1,2026-11-30,49.0
364,Site1,2026-12-07,31.4
364,Site1,2026-12-14,31.4
364,Site1,2026-12-21,31.4
364,Site1,2026-12-28,31.4
514,Site1,2026-02-09,161.5
514,Site1,2026-02-16,161.5
514,Site1,2026-02-23,161.5
514,Site1,2026-03-02,121.0
514,Site1,2026-03-09,121.0
514,Site1,2026-03-16,121.0
514,Site1,2026-03-23,121.0
514,Site1,2026-03-30,121.0
514,Site1,2026-04-06,126.2
514,Site1,2026-04-13,126.2
514,Site1,2026-04-20,126.2
514,Site1,2026-04-27,126.2
514,Site1,2026-05-04,167.0
514,Site1,2026-05-11,167.0
514,Site1,2026-05-18,167.0
514,Site1,2026-05-25,167.0
514,Site1,2026-06-01,126.5
514,Site1,2026-06-08,126.5
514,Site1,2026-06-15,126.5
514,Site1,2026-06-22,126.5
514,Site1,2026-06-29,126.5
514,Site1,2026-07-06,136.6
514,Site1,2026-07-13,136.6
514,Site1,2026-07-20,136.6
514,Site1,2026-07-27,136.6
514,Site1,2026-08-03,172.75
514,Site1,2026-08-10,172.75
514,Site1,2026-08-17,172.75
514,Site1,2026-08-24,172.75
514,Site1,2026-08-31,172.75
514,Site1,2026-09-07,105.6
514,Site1,2026-09-14,105.6
514,Site1,2026-09-21,105.6
514,Site1,2026-09-28,105.6
514,Site1,2026-10-05,134.0
514,Site1,2026-10-12,134.0
514,Site1,2026-10-19,134.0
514,Site1,2026-10-26,134.0
514,Site1,2026-11-02,135.75
514,Site1,2026-11-09,135.75
514,Site1,2026-11-16,135.75
514,Site1,2026-11-23,135.75
514,Site1,2026-11-30,135.75
514,Site1,2026-12-07,110.0
514,Site1,2026-12-14,110.0
514,Site1,2026-12-21,110.0
514,Site1,2026-12-28,110.0
584,Site1,2026-02-09,200.0
584,Site1,2026-02-16,200.0
584,Site1,2026-02-23,200.0
584,Site1,2026-03-02,200.0
584,Site1,2026-03-09,200.0
584,Site1,2026-03-16,200.0
584,Site1,2026-03-23,200.0
584,Site1,2026-03-30,200.0
584,Site1,2026-04-06,220.0
584,Site1,2026-04-13,220.0
584,Site1,2026-04-20,220.0
584,Site1,2026-04-27,220.0
584,Site1,2026-05-04,237.5
584,Site1,2026-05-11,237.5
584,Site1,2026-05-18,237.5
584,Site1,2026-05-25,237.5
584,Site1,2026-06-01,237.5
584,Site1,2026-06-08,237.5
584,Site1,2026-06-15,237.5
584,Site1,2026-06-22,237.5
584,Site1,2026-06-29,237.5
584,Site1,2026-07-06,260.0
584,Site1,2026-07-13,260.0
584,Site1,2026-07-20,260.0
584,Site1,2026-07-27,260.0
584,Site1,2026-08-03,250.0
584,Site1,2026-08-10,250.0
584,Site1,2026-08-17,250.0
584,Site1,2026-08-24,250.0
584,Site1,2026-08-31,250.0
584,Site1,2026-09-07,160.0
584,Site1,2026-09-14,160.0
584,Site1,2026-09-21,160.0
584,Site1,2026-09-28,160.0
584,Site1,2026-10-05,200.0
584,Site1,2026-10-12,200.0
584,Site1,2026-10-19,200.0
584,Site1,2026-10-26,200.0
584,Site1,2026-11-02,200.0
584,Site1,2026-11-09,200.0
584,Site1,2026-11-16,200.0
584,Site1,2026-11-23,200.0
584,Site1,2026-11-30,200.0
584,Site1,2026-12-07,200.0
584,Site1,2026-12-14,200.0
584,Site1,2026-12-21,200.0
584,Site1,2026-12-28,200.0
585,Site1,2026-02-09,375.0
585,Site1,2026-02-16,375.0
585,Site1,2026-02-23,375.0
585,Site1,2026-03-02,375.0
585,Site1,2026-03-09,375.0
585,Site1,2026-03-16,375.0
585,Site1,2026-03-23,375.0
585,Site1,2026-03-30,375.0
585,Site1,2026-04-06,300.0
585,Site1,2026-04-13,300.0
585,Site1,2026-04-20,300.0
585,Site1,2026-04-27,300.0
585,Site1,2026-05-04,550.0
585,Site1,2026-05-11,550.0
585,Site1,2026-05-18,550.0
585,Site1,2026-05-25,550.0
585,Site1,2026-06-01,550.0
585,Site1,2026-06-08,550.0
585,Site1,2026-06-15,550.0
585,Site1,2026-06-22,550.0
585,Site1,2026-06-29,550.0
585,Site1,2026-07-06,440.0
585,Site1,2026-07-13,440.0
585,Site1,2026-07-20,440.0
585,Site1,2026-07-27,440.0
585,Site1,2026-08-03,475.0
585,Site1,2026-08-10,475.0
585,Site1,2026-08-17,475.0
585,Site1,2026-08-24,475.0
585,Site1,2026-08-31,475.0
585,Site1,2026-09-07,300.0
585,Site1,2026-09-14,300.0
585,Site1,2026-09-21,300.0
585,Site1,2026-09-28,300.0
585,Site1,2026-10-05,375.0
585,Site1,2026-10-12,375.0
585,Site1,2026-10-19,375.0
585,Site1,2026-10-26,375.0
585,Site1,2026-11-02,375.0
585,Site1,2026-11-09,375.0
585,Site1,2026-11-16,375.0
585,Site1,2026-11-23,375.0
585,Site1,2026-11-30,375.0
585,Site1,2026-12-07,360.0
585,Site1,2026-12-14,360.0
585,Site1,2026-12-21,360.0
585,Site1,2026-12-28,360.0
586,Site1,2026-02-09,175.0
586,Site1,2026-02-16,175.0
586,Site1,2026-02-23,175.0
586,Site1,2026-03-02,175.0
586,Site1,2026-03-09,175.0
586,Site1,2026-03-16,175.0
586,Site1,2026-03-23,175.0
586,Site1,2026-03-30,175.0
586,Site1,2026-04-06,240.0
586,Site1,2026-04-13,240.0
586,Site1,2026-04-20,240.0
586,Site1,2026-04-27,240.0
586,Site1,2026-05-04,275.0
586,Site1,2026-05-11,275.0
586,Site1,2026-05-18,275.0
586,Site1,2026-05-25,275.0
586,Site1,2026-06-01,275.0
586,Site1,2026-06-08,275.0
586,Site1,2026-06-15,275.0
586,Site1,2026-06-22,275.0
586,Site1,2026-06-29,275.0
586,Site1,2026-07-06,180.0
586,Site1,2026-07-13,180.0
586,Site1,2026-07-20,180.0
586,Site1,2026-07-27,180.0
586,Site1,2026-08-03,225.0
586,Site1,2026-08-10,225.0
586,Site1,2026-08-17,225.0
586,Site1,2026-08-24,225.0
586,Site1,2026-08-31,225.0
586,Site1,2026-09-07,140.0
586,Site1,2026-09-14,140.0
586,Site1,2026-09-21,140.0
586,Site1,2026-09-28,140.0
586,Site1,2026-10-05,175.0
586,Site1,2026-10-12,175.0
586,Site1,2026-10-19,175.0
586,Site1,2026-10-26,175.0
586,Site1,2026-11-02,175.0
586,Site1,2026-11-09,175.0
586,Site1,2026-11-16,175.0
586,Site1,2026-11-23,175.0
586,Site1,2026-11-30,175.0
586,Site1,2026-12-07,150.0
586,Site1,2026-12-14,150.0
586,Site1,2026-12-21,150.0
586,Site1,2026-12-28,150.0
587,Site1,2026-02-09,8.75
587,Site1,2026-02-16,8.75
587,Site1,2026-02-23,8.75
587,Site1,2026-03-02,8.75
587,Site1,2026-03-09,8.75
587,Site1,2026-03-16,8.75
587,Site1,2026-03-23,8.75
587,Site1,2026-03-30,8.75
587,Site1,2026-04-06,7.0
587,Site1,2026-04-13,7.0
587,Site1,2026-04-20,7.0
587,Site1,2026-04-27,7.0
587,Site1,2026-05-04,15.0
587,Site1,2026-05-11,15.0
587,Site1,2026-05-18,15.0
587,Site1,2026-05-25,15.0
587,Site1,2026-06-01,20.0
587,Site1,2026-06-08,20.0
587,Site1,2026-06-15,20.0
587,Site1,2026-06-22,20.0
587,Site1,2026-06-29,20.0
587,Site1,2026-07-06,16.0
587,Site1,2026-07-13,16.0
587,Site1,2026-07-20,16.0
587,Site1,2026-07-27,16.0
587,Site1,2026-08-03,12.5
587,Site1,2026-08-10,12.5
587,Site1,2026-08-17,12.5
587,Site1,2026-08-24,12.5
587,Site1,2026-08-31,12.5
587,Site1,2026-09-07,7.0
587,Site1,2026-09-14,7.0
587,Site1,2026-09-21,7.0
587,Site1,2026-09-28,7.0
587,Site1,2026-10-05,8.75
587,Site1,2026-10-12,8.75
587,Site1,2026-10-19,8.75
587,Site1,2026-10-26,8.75
587,Site1,2026-11-02,8.75
587,Site1,2026-11-09,8.75
587,Site1,2026-11-16,8.75
587,Site1,2026-11-23,8.75
587,Site1,2026-11-30,8.75
587,Site1,2026-12-07,7.0
587,Site1,2026-12-14,7.0
587,Site1,2026-12-21,7.0
587,Site1,2026-12-28,7.0
588,Site1,2026-02-09,100.0
588,Site1,2026-02-16,100.0
588,Site1,2026-02-23,100.0
588,Site1,2026-03-02,100.0
588,Site1,2026-03-09,100.0
588,Site1,2026-03-16,100.0
588,Site1,2026-03-23,100.0
588,Site1,2026-03-30,100.0
588,Site1,2026-04-06,100.0
588,Site1,2026-04-13,100.0
588,Site1,2026-04-20,100.0
588,Site1,2026-04-27,100.0
588,Site1,2026-05-04,125.0
588,Site1,2026-05-11,125.0
588,Site1,2026-05-18,125.0
588,Site1,2026-05-25,125.0
588,Site1,2026-06-01,162.5
588,Site1,2026-06-08,162.5
588,Site1,2026-06-15,162.5
588,Site1,2026-06-22,162.5
588,Site1,2026-06-29,162.5
588,Site1,2026-07-06,130.0
588,Site1,2026-07-13,130.0
588,Site1,2026-07-20,130.0
588,Site1,2026-07-27,130.0
588,Site1,2026-08-03,100.0
588,Site1,2026-08-10,100.0
588,Site1,2026-08-17,100.0
588,Site1,2026-08-24,100.0
588,Site1,2026-08-31,100.0
588,Site1,2026-09-07,90.0
588,Site1,2026-09-14,90.0
588,Site1,2026-09-21,90.0
588,Site1,2026-09-28,90.0
588,Site1,2026-10-05,112.5
588,Site1,2026-10-12,112.5
588,Site1,2026-10-19,112.5
588,Site1,2026-10-26,112.5
588,Site1,2026-11-02,90.0
588,Site1,2026-11-09,90.0
588,Site1,2026-11-16,90.0
588,Site1,2026-11-23,90.0
588,Site1,2026-11-30,90.0
588,Site1,2026-12-07,72.0
588,Site1,2026-12-14,72.0
588,Site1,2026-12-21,72.0
588,Site1,2026-12-28,72.0
670,Site1,2026-02-09,1310.0
670,Site1,2026-02-16,1310.0
670,Site1,2026-02-23,1310.0
670,Site1,2026-03-02,1477.5
670,Site1,2026-03-09,1477.5
670,Site1,2026-03-16,1477.5
670,Site1,2026-03-23,1477.5
670,Site1,2026-03-30,1477.5
670,Site1,2026-04-06,1182.0
670,Site1,2026-04-13,1182.0
670,Site1,2026-04-20,1182.0
670,Site1,2026-04-27,1182.0
670,Site1,2026-05-04,1104.25
670,Site1,2026-05-11,1104.25
670,Site1,2026-05-18,1104.25
670,Site1,2026-05-25,1104.25
670,Site1,2026-06-01,1106.75
670,Site1,2026-06-08,1106.75
670,Site1,2026-06-15,1106.75
670,Site1,2026-06-22,1106.75
670,Site1,2026-06-29,1106.75
670,Site1,2026-07-06,1187.4
670,Site1,2026-07-13,1187.4
670,Site1,2026-07-20,1187.4
670,Site1,2026-07-27,1187.4
670,Site1,2026-08-03,1484.25
670,Site1,2026-08-10,1484.25
670,Site1,2026-08-17,1484.25
670,Site1,2026-08-24,1484.25
670,Site1,2026-08-31,1484.25
670,Site1,2026-09-07,1189.4
670,Site1,2026-09-14,1189.4
670,Site1,2026-09-21,1189.4
670,Site1,2026-09-28,1189.4
670,Site1,2026-10-05,1489.25
670,Site1,2026-10-12,1489.25
670,Site1,2026-10-19,1489.25
670,Site1,2026-10-26,1489.25
670,Site1,2026-11-02,1491.75
670,Site1,2026-11-09,1491.75
670,Site1,2026-11-16,1491.75
670,Site1,2026-11-23,1491.75
670,Site1,2026-11-30,1491.75
670,Site1,2026-12-07,593.4
670,Site1,2026-12-14,593.4
670,Site1,2026-12-21,593.4
670,Site1,2026-12-28,593.4
728,Site1,2026-02-09,59.5
728,Site1,2026-02-16,59.5
728,Site1,2026-02-23,59.5
728,Site1,2026-03-02,61.25
728,Site1,2026-03-09,61.25
728,Site1,2026-03-16,61.25
728,Site1,2026-03-23,61.25
728,Site1,2026-03-30,61.25
728,Site1,2026-04-06,50.4
728,Site1,2026-04-13,50.4
728,Site1,2026-04-20,50.4
728,Site1,2026-04-27,50.4
728,Site1,2026-05-04,65.0
728,Site1,2026-05-11,65.0
728,Site1,2026-05-18,65.0
728,Site1,2026-05-25,65.0
728,Site1,2026-06-01,66.75
728,Site1,2026-06-08,66.75
728,Site1,2026-06-15,66.75
728,Site1,2026-06-22,66.75
728,Site1,2026-06-29,66.75
728,Site1,2026-07-06,54.8
728,Site1,2026-07-13,54.8
728,Site1,2026-07-20,54.8
728,Site1,2026-07-27,54.8
728,Site1,2026-08-03,70.25
728,Site1,2026-08-10,70.25
728,Site1,2026-08-17,70.25
728,Site1,2026-08-24,70.25
728,Site1,2026-08-31,70.25
728,Site1,2026-09-07,57.6
728,Site1,2026-09-14,57.6
728,Site1,2026-09-21,57.6
728,Site1,2026-09-28,57.6
728,Site1,2026-10-05,74.0
728,Site1,2026-10-12,74.0
728,Site1,2026-10-19,74.0
728,Site1,2026-10-26,74.0
728,Site1,2026-11-02,75.75
728,Site1,2026-11-09,75.75
728,Site1,2026-11-16,75.75
728,Site1,2026-11-23,75.75
728,Site1,2026-11-30,75.75
728,Site1,2026-12-07,62.0
728,Site1,2026-12-14,62.0
728,Site1,2026-12-21,62.0
728,Site1,2026-12-28,62.0
766,Site1,2026-02-09,1075.0
766,Site1,2026-02-16,1075.0
766,Site1,2026-02-23,1075.0
766,Site1,2026-03-02,875.0
766,Site1,2026-03-09,875.0
766,Site1,2026-03-16,875.0
766,Site1,2026-03-23,875.0
766,Site1,2026-03-30,875.0
766,Site1,2026-04-06,360.0
766,Site1,2026-04-13,360.0
766,Site1,2026-04-20,360.0
766,Site1,2026-04-27,360.0
766,Site1,2026-05-04,1125.0
766,Site1,2026-05-11,1125.0
766,Site1,2026-05-18,1125.0
766,Site1,2026-05-25,1125.0
766,Site1,2026-06-01,850.0
766,Site1,2026-06-08,850.0
766,Site1,2026-06-15,850.0
766,Site1,2026-06-22,850.0
766,Site1,2026-06-29,850.0
766,Site1,2026-07-06,900.0
766,Site1,2026-07-13,900.0
766,Site1,2026-07-20,900.0
766,Site1,2026-07-27,900.0
766,Site1,2026-08-03,1125.0
766,Site1,2026-08-10,1125.0
766,Site1,2026-08-17,1125.0
766,Site1,2026-08-24,1125.0
766,Site1,2026-08-31,1125.0
766,Site1,2026-09-07,1000.0
766,Site1,2026-09-14,1000.0
766,Site1,2026-09-21,1000.0
766,Site1,2026-09-28,1000.0
766,Site1,2026-10-05,1250.0
766,Site1,2026-10-12,1250.0
766,Site1,2026-10-19,1250.0
766,Site1,2026-10-26,1250.0
766,Site1,2026-11-02,1250.0
766,Site1,2026-11-09,1250.0
766,Site1,2026-11-16,1250.0
766,Site1,2026-11-23,1250.0
766,Site1,2026-11-30,1250.0
766,Site1,2026-12-07,1000.0
766,Site1,2026-12-14,1000.0
766,Site1,2026-12-21,1000.0
766,Site1,2026-12-28,1000.0
804,Site1,2026-02-09,30.0
804,Site1,2026-02-16,30.0
804,Site1,2026-02-23,30.0
804,Site1,2026-03-02,30.0
804,Site1,2026-03-09,30.0
804,Site1,2026-03-16,30.0
804,Site1,2026-03-23,30.0
804,Site1,2026-03-30,30.0
804,Site1,2026-04-06,40.0
804,Site1,2026-04-13,40.0
804,Site1,2026-04-20,40.0
804,Site1,2026-04-27,40.0
804,Site1,2026-05-04,50.0
804,Site1,2026-05-11,50.0
804,Site1,2026-05-18,50.0
804,Site1,2026-05-25,50.0
804,Site1,2026-06-01,50.0
804,Site1,2026-06-08,50.0
804,Site1,2026-06-15,50.0
804,Site1,2026-06-22,50.0
804,Site1,2026-06-29,50.0
804,Site1,2026-07-06,40.0
804,Site1,2026-07-13,40.0
804,Site1,2026-07-20,40.0
804,Site1,2026-07-27,40.0
804,Site1,2026-08-03,50.0
804,Site1,2026-08-10,50.0
804,Site1,2026-08-17,50.0
804,Site1,2026-08-24,50.0
804,Site1,2026-08-31,50.0
804,Site1,2026-09-07,32.0
804,Site1,2026-09-14,32.0
804,Site1,2026-09-21,32.0
804,Site1,2026-09-28,32.0
804,Site1,2026-10-05,30.0
804,Site1,2026-10-12,30.0
804,Site1,2026-10-19,30.0
804,Site1,2026-10-26,30.0
804,Site1,2026-11-02,30.0
804,Site1,2026-11-09,30.0
804,Site1,2026-11-16,30.0
804,Site1,2026-11-23,30.0
804,Site1,2026-11-30,30.0
804,Site1,2026-12-07,24.0
804,Site1,2026-12-14,24.0
804,Site1,2026-12-21,24.0
804,Site1,2026-12-28,24.0
825,Site1,2026-02-09,110.0
825,Site1,2026-02-16,110.0
825,Site1,2026-02-23,110.0
825,Site1,2026-03-02,110.0
825,Site1,2026-03-09,110.0
825,Site1,2026-03-16,110.0
825,Site1,2026-03-23,110.0
825,Site1,2026-03-30,110.0
825,Site1,2026-04-06,120.0
825,Site1,2026-04-13,120.0
825,Site1,2026-04-20,120.0
825,Site1,2026-04-27,120.0
825,Site1,2026-05-04,175.0
825,Site1,2026-05-11,175.0
825,Site1,2026-05-18,175.0
825,Site1,2026-05-25,175.0
825,Site1,2026-06-01,162.5
825,Site1,2026-06-08,162.5
825,Site1,2026-06-15,162.5
825,Site1,2026-06-22,162.5
825,Site1,2026-06-29,162.5
825,Site1,2026-07-06,160.0
825,Site1,2026-07-13,160.0
825,Site1,2026-07-20,160.0
825,Site1,2026-07-27,160.0
825,Site1,2026-08-03,125.0
825,Site1,2026-08-10,125.0
825,Site1,2026-08-17,125.0
825,Site1,2026-08-24,125.0
825,Site1,2026-08-31,125.0
825,Site1,2026-09-07,88.0
825,Site1,2026-09-14,88.0
825,Site1,2026-09-21,88.0
825,Site1,2026-09-28,88.0
825,Site1,2026-10-05,110.0
825,Site1,2026-10-12,110.0
825,Site1,2026-10-19,110.0
825,Site1,2026-10-26,110.0
825,Site1,2026-11-02,110.0
825,Site1,2026-11-09,110.0
825,Site1,2026-11-16,110.0
825,Site1,2026-11-23,110.0
825,Site1,2026-11-30,110.0
825,Site1,2026-12-07,88.0
825,Site1,2026-12-14,88.0
825,Site1,2026-12-21,88.0
825,Site1,2026-12-28,88.0
833,Site1,2026-02-09,249.25
833,Site1,2026-02-16,249.25
833,Site1,2026-02-23,249.25
833,Site1,2026-03-02,250.5
833,Site1,2026-03-09,250.5
833,Site1,2026-03-16,250.5
833,Site1,2026-03-23,250.5
833,Site1,2026-03-30,250.5
833,Site1,2026-04-06,201.4
833,Site1,2026-04-13,201.4
833,Site1,2026-04-20,201.4
833,Site1,2026-04-27,201.4
833,Site1,2026-05-04,290.5
833,Site1,2026-05-11,290.5
833,Site1,2026-05-18,290.5
833,Site1,2026-05-25,290.5
833,Site1,2026-06-01,329.25
833,Site1,2026-06-08,329.25
833,Site1,2026-06-15,329.25
833,Site1,2026-06-22,329.25
833,Site1,2026-06-29,329.25
833,Site1,2026-07-06,264.4
833,Site1,2026-07-13,264.4
833,Site1,2026-07-20,264.4
833,Site1,2026-07-27,264.4
833,Site1,2026-08-03,331.75
833,Site1,2026-08-10,331.75
833,Site1,2026-08-17,331.75
833,Site1,2026-08-24,331.75
833,Site1,2026-08-31,331.75
833,Site1,2026-09-07,266.4
833,Site1,2026-09-14,266.4
833,Site1,2026-09-21,266.4
833,Site1,2026-09-28,266.4
833,Site1,2026-10-05,334.25
833,Site1,2026-10-12,334.25
833,Site1,2026-10-19,334.25
833,Site1,2026-10-26,334.25
833,Site1,2026-11-02,335.5
833,Site1,2026-11-09,335.5
833,Site1,2026-11-16,335.5
833,Site1,2026-11-23,335.5
833,Site1,2026-11-30,335.5
833,Site1,2026-12-07,269.4
833,Site1,2026-12-14,269.4
833,Site1,2026-12-21,269.4
833,Site1,2026-12-28,269.4
835,Site3,2026-02-09,210.0
835,Site3,2026-02-16,210.0
835,Site3,2026-02-23,210.0
835,Site3,2026-03-02,210.0
835,Site3,2026-03-09,210.0
835,Site3,2026-03-16,210.0
835,Site3,2026-03-23,210.0
835,Site3,2026-03-30,210.0
835,Site3,2026-04-06,188.0
835,Site3,2026-04-13,168.0
835,Site3,2026-04-20,168.0
835,Site3,2026-04-27,168.0
835,Site3,2026-05-04,190.0
835,Site3,2026-05-11,210.0
835,Site3,2026-05-18,210.0
835,Site3,2026-05-25,210.0
835,Site3,2026-06-01,210.0
835,Site3,2026-06-08,210.0
835,Site3,2026-06-15,210.0
835,Site3,2026-06-22,210.0
835,Site3,2026-06-29,210.0
835,Site3,2026-07-06,188.0
835,Site3,2026-07-13,168.0
835,Site3,2026-07-20,168.0
835,Site3,2026-07-27,168.0
835,Site3,2026-08-03,190.0
835,Site3,2026-08-10,210.0
835,Site3,2026-08-17,210.0
835,Site3,2026-08-24,210.0
835,Site3,2026-08-31,210.0
835,Site3,2026-09-07,168.0
835,Site3,2026-09-14,168.0
835,Site3,2026-09-21,168.0
835,Site3,2026-09-28,168.0
835,Site3,2026-10-05,190.0
835,Site3,2026-10-12,210.0
835,Site3,2026-10-19,210.0
835,Site3,2026-10-26,210.0
835,Site3,2026-11-02,210.0
835,Site3,2026-11-09,210.0
835,Site3,2026-11-16,210.0
835,Site3,2026-11-23,210.0
835,Site3,2026-11-30,210.0
835,Site3,2026-12-07,168.0
835,Site3,2026-12-14,168.0
835,Site3,2026-12-21,168.0
835,Site3,2026-12-28,168.0
835,Site1,2026-02-09,654.25
835,Site1,2026-02-16,654.25
835,Site1,2026-02-23,654.25
835,Site1,2026-03-02,656.0
835,Site1,2026-03-09,656.0
835,Site1,2026-03-16,656.0
835,Site1,2026-03-23,656.0
835,Site1,2026-03-30,656.0
835,Site1,2026-04-06,568.4
835,Site1,2026-04-13,526.4
835,Site1,2026-04-20,526.4
835,Site1,2026-04-27,526.4
835,Site1,2026-05-04,617.75
835,Site1,2026-05-11,659.75
835,Site1,2026-05-18,659.75
835,Site1,2026-05-25,659.75
835,Site1,2026-06-01,549.25
835,Site1,2026-06-08,549.25
