annee_sem,code_article,code_site,ventes,appros,stock,ventes_prev,couverture,stock_init,ventes_cum,appros_cum
2026-37,42,Site1,7.4,0.0,-13.3,8.62,-1.54,254.0,267.3,0.0
2026-38,42,Site1,7.4,0.0,-20.7,8.58,-2.41,254.0,274.7,0.0
2026-39,42,Site1,7.4,0.0,-28.1,8.55,-3.29,254.0,282.1,0.0
2026-40,42,Site1,7.4,0.0,-35.5,8.51,-4.17,254.0,289.5,0.0
2026-41,42,Site1,9.25,0.0,-44.75,8.54,-5.24,254.0,298.75,0.0
2026-42,42,Site1,9.25,0.0,-54.0,8.56,-6.31,254.0,308.0,0.0
2026-43,42,Site1,9.25,0.0,-63.25,8.57,-7.38,254.0,317.25,0.0
2026-07,43,Site1,66.25,0.0,718.75,66.25,10.85,785.0,66.25,0.0
2026-08,43,Site1,66.25,0.0,652.5,66.25,9.85,785.0,132.5,0.0
2026-09,43,Site1,66.25,0.0,586.25,66.25,8.85,785.0,198.75,0.0
2026-10,43,Site1,101.5,0.0,484.75,75.06,6.46,785.0,300.25,0.0
2026-11,43,Site1,101.5,0.0,383.25,80.35,4.77,785.0,401.75,0.0
2026-12,43,Site1,101.5,0.0,281.75,83.88,3.36,785.0,503.25,0.0
2026-13,43,Site1,101.5,0.0,180.25,86.39,2.09,785.0,604.75,0.0
2026-14,43,Site1,101.5,0.0,78.75,88.28,0.89,785.0,706.25,0.0
2026-15,43,Site1,53.4,0.0,25.35,84.41,0.3,785.0,759.65,0.0
2026-16,43,Site1,53.4,0.0,-28.05,81.3,-0.35,785.0,813.05,0.0
2026-17,43,Site1,53.4,0.0,-81.45,78.77,-1.03,785.0,866.45,0.0
2026-18,43,Site1,53.4,0.0,-134.85,76.65,-1.76,785.0,919.85,0.0
2026-19,43,Site1,87.0,0.0,-221.85,77.45,-2.86,785.0,1006.85,0.0
2026-20,43,Site1,87.0,0.0,-308.85,78.13,-3.95,785.0,1093.85,0.0
2026-21,43,Site1,87.0,0.0,-395.85,78.72,-5.03,785.0,1180.85,0.0
2026-22,43,Site1,87.0,0.0,-482.85,79.24,-6.09,785.0,1267.85,0.0
2026-23,43,Site1,67.25,0.0,-550.1,78.54,-7.0,785.0,1335.1,0.0
2026-24,43,Site1,67.25,0.0,-617.35,77.91,-7.92,785.0,1402.35,0.0
2026-25,43,Site1,67.25,0.0,-684.6,77.35,-8.85,785.0,1469.6,0.0
2026-26,43,Site1,67.25,0.0,-751.85,76.84,-9.78,785.0,1536.85,0.0
2026-27,43,Site1,67.25,0.0,-819.1,76.39,-10.72,785.0,1604.1,0.0
2026-28,43,Site1,54.0,0.0,-873.1,75.37,-11.58,785.0,1658.1,0.0
2026-29,43,Site1,54.0,0.0,-927.1,74.44,-12.45,785.0,1712.1,0.0
2026-30,43,Site1,54.0,0.0,-981.1,73.59,-13.33,785.0,1766.1,0.0
2026-31,43,Site1,54.0,0.0,-1035.1,72.8,-14.22,785.0,1820.1,0.0
2026-32,43,Site1,67.75,0.0,-1102.85,72.61,-15.19,785.0,1887.85,0.0
2026-33,43,Site1,67.75,0.0,-1170.6,72.43,-16.16,785.0,1955.6,0.0
2026-34,43,Site1,67.75,0.0,-1238.35,72.26,-17.14,785.0,2023.35,0.0
2026-35,43,Site1,67.75,0.0,-1306.1,72.11,-18.11,785.0,2091.1,0.0
2026-36,43,Site1,67.75,0.0,-1373.85,71.96,-19.09,785.0,2158.85,0.0
2026-37,43,Site1,54.4,0.0,-1428.25,71.4,-20.0,785.0,2213.25,0.0
2026-38,43,Site1,54.4,0.0,-1482.65,70.86,-20.92,785.0,2267.65,0.0
2026-39,43,Site1,54.4,0.0,-1537.05,70.37,-21.84,785.0,2322.05,0.0
2026-40,43,Site1,54.4,0.0,-1591.45,69.9,-22.77,785.0,2376.45,0.0
2026-41,43,Site1,68.0,0.0,-1659.45,69.84,-23.76,785.0,2444.45,0.0
2026-42,43,Site1,68.0,0.0,-1727.45,69.79,-24.75,785.0,2512.45,0.0
2026-43,43,Site1,68.0,0.0,-1795.45,69.74,-25.74,785.0,2580.45,0.0
2026-07,62,Site1,12.75,0.0,294.25,12.75,23.08,307.0,12.75,0.0
2026-08,62,Site1,12.75,0.0,281.5,12.75,22.08,307.0,25.5,0.0
2026-09,62,Site1,12.75,0.0,268.75,12.75,21.08,307.0,38.25,0.0
2026-10,62,Site1,12.75,0.0,256.0,12.75,20.08,307.0,51.0,0.0
2026-11,62,Site1,12.75,0.0,243.25,12.75,19.08,307.0,63.75,0.0
2026-12,62,Site1,12.75,0.0,230.5,12.75,18.08,307.0,76.5,0.0
2026-13,62,Site1,12.75,0.0,217.75,12.75,17.08,307.0,89.25,0.0
2026-14,62,Site1,12.75,0.0,205.0,12.75,16.08,307.0,102.0,0.0
2026-15,62,Site1,10.2,0.0,194.8,12.47,15.62,307.0,112.2,0.0
2026-16,62,Site1,10.2,0.0,184.6,12.24,15.08,307.0,122.4,0.0
2026-17,62,Site1,10.2,0.0,174.4,12.05,14.47,307.0,132.6,0.0
2026-18,62,Site1,10.2,0.0,164.2,11.9,13.8,307.0,142.8,0.0
2026-19,62,Site1,12.75,0.0,151.45,11.97,12.65,307.0,155.55,0.0
2026-20,62,Site1,12.75,0.0,138.7,12.02,11.54,307.0,168.3,0.0
2026-21,62,Site1,12.75,0.0,125.95,12.07,10.43,307.0,181.05,0.0
2026-22,62,Site1,12.75,0.0,113.2,12.11,9.35,307.0,193.8,0.0
2026-23,62,Site1,12.75,0.0,100.45,12.15,8.27,307.0,206.55,0.0
2026-24,62,Site1,12.75,0.0,87.7,12.18,7.2,307.0,219.3,0.0
2026-25,62,Site1,12.75,0.0,74.95,12.21,6.14,307.0,232.05,0.0
2026-26,62,Site1,12.75,0.0,62.2,12.24,5.08,307.0,244.8,0.0
2026-27,62,Site1,12.75,0.0,49.45,12.26,4.03,307.0,257.55,0.0
2026-28,62,Site1,10.2,0.0,39.25,12.17,3.23,307.0,267.75,0.0
2026-29,62,Site1,10.2,0.0,29.05,12.08,2.4,307.0,277.95,0.0
2026-30,62,Site1,10.2,0.0,18.85,12.01,1.57,307.0,288.15,0.0
2026-31,62,Site1,10.2,0.0,8.65,11.93,0.73,307.0,298.35,0.0
2026-32,62,Site1,12.75,0.0,-4.1,11.97,-0.34,307.0,311.1,0.0
2026-33,62,Site1,12.75,0.0,-16.85,11.99,-1.41,307.0,323.85,0.0
2026-34,62,Site1,12.75,0.0,-29.6,12.02,-2.46,307.0,336.6,0.0
2026-35,62,Site1,12.75,0.0,-42.35,12.05,-3.51,307.0,349.35,0.0
2026-36,62,Site1,12.75,0.0,-55.1,12.07,-4.57,307.0,362.1,0.0
2026-37,62,Site1,10.2,0.0,-65.3,12.01,-5.44,307.0,372.3,0.0
2026-38,62,Site1,10.2,0.0,-75.5,11.95,-6.32,307.0,382.5,0.0
2026-39,62,Site1,10.2,0.0,-85.7,11.9,-7.2,307.0,392.7,0.0
2026-40,62,Site1,10.2,0.0,-95.9,11.85,-8.09,307.0,402.9,0.0
2026-41,62,Site1,12.75,0.0,-108.65,11.88,-9.15,307.0,415.65,0.0
2026-42,62,Site1,12.75,0.0,-121.4,11.9,-10.2,307.0,428.4,0.0
2026-43,62,Site1,12.75,0.0,-134.15,11.92,-11.25,307.0,441.15,0.0
2026-07,364,Site1,32.25,0.0,1128.75,32.25,35.0,1161.0,32.25,0.0
2026-08,364,Site1,32.25,0.0,1096.5,32.25,34.0,1161.0,64.5,0.0
2026-09,364,Site1,32.25,0.0,1064.25,32.25,33.0,1161.0,96.75,0.0
2026-10,364,Site1,47.5,0.0,1016.75,36.06,28.2,1161.0,144.25,0.0
2026-11,364,Site1,47.5,0.0,969.25,38.35,25.27,1161.0,191.75,0.0
2026-12,364,Site1,47.5,0.0,921.75,39.88,23.11,1161.0,239.25,0.0
2026-13,364,Site1,47.5,0.0,874.25,40.96,21.34,1161.0,286.75,0.0
2026-14,364,Site1,47.5,0.0,826.75,41.78,19.79,1161.0,334.25,0.0
2026-15,364,Site1,48.2,0.0,778.55,42.49,18.32,1161.0,382.45,0.0
2026-16,364,Site1,48.2,0.0,730.35,43.06,16.96,1161.0,430.65,0.0
2026-17,364,Site1,48.2,0.0,682.15,43.53,15.67,1161.0,478.85,0.0
2026-18,364,Site1,48.2,0.0,633.95,43.92,14.43,1161.0,527.05,0.0
2026-19,364,Site1,60.5,0.0,573.45,45.2,12.69,1161.0,587.55,0.0
2026-20,364,Site1,60.5,0.0,512.95,46.29,11.08,1161.0,648.05,0.0
2026-21,364,Site1,60.5,0.0,452.45,47.24,9.58,1161.0,708.55,0.0
2026-22,364,Site1,60.5,0.0,391.95,48.07,8.15,1161.0,769.05,0.0
2026-23,364,Site1,48.0,0.0,343.95,48.06,7.16,1161.0,817.05,0.0
2026-24,364,Site1,48.0,0.0,295.95,48.06,6.16,1161.0,865.05,0.0
2026-25,364,Site1,48.0,0.0,247.95,48.06,5.16,1161.0,913.05,0.0
2026-26,364,Site1,48.0,0.0,199.95,48.05,4.16,1161.0,961.05,0.0
2026-27,364,Site1,48.0,0.0,151.95,48.05,3.16,1161.0,1009.05,0.0
2026-28,364,Site1,38.6,0.0,113.35,47.62,2.38,1161.0,1047.65,0.0
2026-29,364,Site1,38.6,0.0,74.75,47.23,1.58,1161.0,1086.25,0.0
2026-30,364,Site1,38.6,0.0,36.15,46.87,0.77,1161.0,1124.85,0.0
2026-31,364,Site1,38.6,0.0,-2.45,46.54,-0.05,1161.0,1163.45,0.0
2026-32,364,Site1,48.5,0.0,-50.95,46.61,-1.09,1161.0,1211.95,0.0
2026-33,364,Site1,48.5,0.0,-99.45,46.68,-2.13,1161.0,1260.45,0.0
2026-34,364,Site1,48.5,0.0,-147.95,46.75,-3.16,1161.0,1308.95,0.0
2026-35,364,Site1,48.5,0.0,-196.45,46.81,-4.2,1161.0,1357.45,0.0
2026-36,364,Site1,48.5,0.0,-244.95,46.86,-5.23,1161.0,1405.95,0.0
2026-37,364,Site1,39.0,0.0,-283.95,46.61,-6.09,1161.0,1444.95,0.0
2026-38,364,Site1,39.0,0.0,-322.95,46.37,-6.96,1161.0,1483.95,0.0
2026-39,364,Site1,39.0,0.0,-361.95,46.15,-7.84,1161.0,1522.95,0.0
2026-40,364,Site1,39.0,0.0,-400.95,45.94,-8.73,1161.0,1561.95,0.0
2026-41,364,Site1,49.0,0.0,-449.95,46.03,-9.78,1161.0,1610.95,0.0
2026-42,364,Site1,49.0,0.0,-498.95,46.11,-10.82,1161.0,1659.95,0.0
2026-43,364,Site1,49.0,0.0,-547.95,46.19,-11.86,1161.0,1708.95,0.0
2026-07,514,Site1,161.5,0.0,4983.5,161.5,30.86,5145.0,161.5,0.0
2026-08,514,Site1,161.5,0.0,4822.0,161.5,29.86,5145.0,323.0,0.0
2026-09,514,Site1,161.5,0.0,4660.5,161.5,28.86,5145.0,484.5,0.0
2026-10,514,Site1,121.0,0.0,4539.5,151.38,29.99,5145.0,605.5,0.0
2026-11,514,Site1,121.0,0.0,4418.5,145.3,30.41,5145.0,726.5,0.0
2026-12,514,Site1,121.0,0.0,4297.5,141.25,30.42,5145.0,847.5,0.0
2026-13,514,Site1,121.0,0.0,4176.5,138.36,30.19,5145.0,968.5,0.0
2026-14,514,Site1,121.0,0.0,4055.5,136.19,29.78,5145.0,1089.5,0.0
2026-15,514,Site1,126.2,0.0,3929.3,135.08,29.09,5145.0,1215.7,0.0
2026-16,514,Site1,126.2,0.0,3803.1,134.19,28.34,5145.0,1341.9,0.0
2026-17,514,Site1,126.2,0.0,3676.9,133.46,27.55,5145.0,1468.1,0.0
2026-18,514,Site1,126.2,0.0,3550.7,132.86,26.73,5145.0,1594.3,0.0
2026-19,514,Site1,167.0,0.0,3383.7,135.48,24.98,5145.0,1761.3,0.0
2026-20,514,Site1,167.0,0.0,3216.7,137.74,23.35,5145.0,1928.3,0.0
2026-21,514,Site1,167.0,0.0,3049.7,139.69,21.83,5145.0,2095.3,0.0
2026-22,514,Site1,167.0,0.0,2882.7,141.39,20.39,5145.0,2262.3,0.0
2026-23,514,Site1,126.5,0.0,2756.2,140.52,19.61,5145.0,2388.8,0.0
2026-24,514,Site1,126.5,0.0,2629.7,139.74,18.82,5145.0,2515.3,0.0
2026-25,514,Site1,126.5,0.0,2503.2,139.04,18.0,5145.0,2641.8,0.0
2026-26,514,Site1,126.5,0.0,2376.7,138.42,17.17,5145.0,2768.3,0.0
2026-27,514,Site1,126.5,0.0,2250.2,137.85,16.32,5145.0,2894.8,0.0
2026-28,514,Site1,136.6,0.0,2113.6,137.79,15.34,5145.0,3031.4,0.0
2026-29,514,Site1,136.6,0.0,1977.0,137.74,14.35,5145.0,3168.0,0.0
2026-30,514,Site1,136.6,0.0,1840.4,137.69,13.37,5145.0,3304.6,0.0
2026-31,514,Site1,136.6,0.0,1703.8,137.65,12.38,5145.0,3441.2,0.0
2026-32,514,Site1,172.75,0.0,1531.05,139.0,11.01,5145.0,3613.95,0.0
2026-33,514,Site1,172.75,0.0,1358.3,140.25,9.68,5145.0,3786.7,0.0
2026-34,514,Site1,172.75,0.0,1185.55,141.41,8.38,5145.0,3959.45,0.0
2026-35,514,Site1,172.75,0.0,1012.8,142.49,7.11,5145.0,4132.2,0.0
2026-36,514,Site1,172.75,0.0,840.05,143.5,5.85,5145.0,4304.95,0.0
2026-37,514,Site1,105.6,0.0,734.45,142.28,5.16,5145.0,4410.55,0.0
2026-38,514,Site1,105.6,0.0,628.85,141.13,4.46,5145.0,4516.15,0.0
2026-39,514,Site1,105.6,0.0,523.25,140.05,3.74,5145.0,4621.75,0.0
2026-40,514,Site1,105.6,0.0,417.65,139.04,3.0,5145.0,4727.35,0.0
2026-41,514,Site1,134.0,0.0,283.65,138.9,2.04,5145.0,4861.35,0.0
2026-42,514,Site1,134.0,0.0,149.65,138.76,1.08,5145.0,4995.35,0.0
2026-43,514,Site1,134.0,0.0,15.65,138.63,0.11,5145.0,5129.35,0.0
2026-07,584,Site1,200.0,0.0,2483.0,200.0,12.42,2683.0,200.0,0.0
2026-08,584,Site1,200.0,0.0,2283.0,200.0,11.42,2683.0,400.0,0.0
2026-09,584,Site1,200.0,0.0,2083.0,200.0,10.42,2683.0,600.0,0.0
2026-10,584,Site1,200.0,1400.0,3283.0,200.0,16.42,2683.0,800.0,1400.0
2026-11,584,Site1,200.0,0.0,3083.0,200.0,15.42,2683.0,1000.0,1400.0
2026-12,584,Site1,200.0,0.0,2883.0,200.0,14.42,2683.0,1200.0,1400.0
2026-13,584,Site1,200.0,0.0,2683.0,200.0,13.42,2683.0,1400.0,1400.0
2026-14,584,Site1,200.0,0.0,2483.0,200.0,12.42,2683.0,1600.0,1400.0
2026-15,584,Site1,220.0,0.0,2263.0,202.22,11.19,2683.0,1820.0,1400.0
2026-16,584,Site1,220.0,0.0,2043.0,204.0,10.01,2683.0,2040.0,1400.0
2026-17,584,Site1,220.0,0.0,1823.0,205.45,8.87,2683.0,2260.0,1400.0
2026-18,584,Site1,220.0,0.0,1603.0,206.67,7.76,2683.0,2480.0,1400.0
2026-19,584,Site1,237.5,0.0,1365.5,209.04,6.53,2683.0,2717.5,1400.0
2026-20,584,Site1,237.5,0.0,1128.0,211.07,5.34,2683.0,2955.0,1400.0
2026-21,584,Site1,237.5,0.0,890.5,212.83,4.18,2683.0,3192.5,1400.0
2026-22,584,Site1,237.5,0.0,653.0,214.38,3.05,2683.0,3430.0,1400.0
2026-23,584,Site1,237.5,0.0,415.5,215.74,1.93,2683.0,3667.5,1400.0
2026-24,584,Site1,237.5,0.0,178.0,216.94,0.82,2683.0,3905.0,1400.0
2026-25,584,Site1,237.5,0.0,-59.5,218.03,-0.27,2683.0,4142.5,1400.0
2026-26,584,Site1,237.5,0.0,-297.0,219.0,-1.36,2683.0,4380.0,1400.0
2026-27,584,Site1,237.5,0.0,-534.5,219.88,-2.43,2683.0,4617.5,1400.0
2026-28,584,Site1,260.0,0.0,-794.5,221.7,-3.58,2683.0,4877.5,1400.0
2026-29,584,Site1,260.0,0.0,-1054.5,223.37,-4.72,2683.0,5137.5,1400.0
2026-30,584,Site1,260.0,0.0,-1314.5,224.9,-5.84,2683.0,5397.5,1400.0
2026-31,584,Site1,260.0,0.0,-1574.5,226.3,-6.96,2683.0,5657.5,1400.0
2026-32,584,Site1,250.0,0.0,-1824.5,227.21,-8.03,2683.0,5907.5,1400.0
2026-33,584,Site1,250.0,0.0,-2074.5,228.06,-9.1,2683.0,6157.5,1400.0
2026-34,584,Site1,250.0,0.0,-2324.5,228.84,-10.16,2683.0,6407.5,1400.0
2026-35,584,Site1,250.0,0.0,-2574.5,229.57,-11.21,2683.0,6657.5,1400.0
2026-36,584,Site1,250.0,0.0,-2824.5,230.25,-12.27,2683.0,6907.5,1400.0
2026-37,584,Site1,160.0,0.0,-2984.5,227.98,-13.09,2683.0,7067.5,1400.0
2026-38,584,Site1,160.0,0.0,-3144.5,225.86,-13.92,2683.0,7227.5,1400.0
2026-39,584,Site1,160.0,0.0,-3304.5,223.86,-14.76,2683.0,7387.5,1400.0
2026-40,584,Site1,160.0,0.0,-3464.5,221.99,-15.61,2683.0,7547.5,1400.0
2026-41,584,Site1,200.0,0.0,-3664.5,221.36,-16.55,2683.0,7747.5,1400.0
2026-42,584,Site1,200.0,0.0,-3864.5,220.76,-17.51,2683.0,7947.5,1400.0
2026-43,584,Site1,200.0,0.0,-4064.5,220.2,-18.46,2683.0,8147.5,1400.0
2026-07,585,Site1,375.0,0.0,2568.0,375.0,6.85,2943.0,375.0,0.0
2026-08,585,Site1,375.0,0.0,2193.0,375.0,5.85,2943.0,750.0,0.0
2026-09,585,Site1,375.0,0.0,1818.0,375.0,4.85,2943.0,1125.0,0.0
2026-10,585,Site1,375.0,360.0,1803.0,375.0,4.81,2943.0,1500.0,360.0
2026-11,585,Site1,375.0,1840.0,3268.0,375.0,8.71,2943.0,1875.0,2200.0
2026-12,585,Site1,375.0,0.0,2893.0,375.0,7.71,2943.0,2250.0,2200.0
2026-13,585,Site1,375.0,0.0,2518.0,375.0,6.71,2943.0,2625.0,2200.0
2026-14,585,Site1,375.0,0.0,2143.0,375.0,5.71,2943.0,3000.0,2200.0
2026-15,585,Site1,300.0,0.0,1843.0,366.67,5.03,2943.0,3300.0,2200.0
2026-16,585,Site1,300.0,0.0,1543.0,360.0,4.29,2943.0,3600.0,2200.0
2026-17,585,Site1,300.0,0.0,1243.0,354.55,3.51,2943.0,3900.0,2200.0
2026-18,585,Site1,300.0,0.0,943.0,350.0,2.69,2943.0,4200.0,2200.0
2026-19,585,Site1,550.0,0.0,393.0,365.38,1.08,2943.0,4750.0,2200.0
2026-20,585,Site1,550.0,0.0,-157.0,378.57,-0.41,2943.0,5300.0,2200.0
2026-21,585,Site1,550.0,0.0,-707.0,390.0,-1.81,2943.0,5850.0,2200.0
2026-22,585,Site1,550.0,0.0,-1257.0,400.0,-3.14,2943.0,6400.0,2200.0
2026-23,585,Site1,550.0,0.0,-1807.0,408.82,-4.42,2943.0,6950.0,2200.0
2026-24,585,Site1,550.0,0.0,-2357.0,416.67,-5.66,2943.0,7500.0,2200.0
2026-25,585,Site1,550.0,0.0,-2907.0,423.68,-6.86,2943.0,8050.0,2200.0
2026-26,585,Site1,550.0,0.0,-3457.0,430.0,-8.04,2943.0,8600.0,2200.0
2026-27,585,Site1,550.0,0.0,-4007.0,435.71,-9.2,2943.0,9150.0,2200.0
2026-28,585,Site1,440.0,0.0,-4447.0,435.91,-10.2,2943.0,9590.0,2200.0
2026-29,585,Site1,440.0,0.0,-4887.0,436.09,-11.21,2943.0,10030.0,2200.0
2026-30,585,Site1,440.0,0.0,-5327.0,436.25,-12.21,2943.0,10470.0,2200.0
2026-31,585,Site1,440.0,0.0,-5767.0,436.4,-13.21,2943.0,10910.0,2200.0
2026-32,585,Site1,475.0,0.0,-6242.0,437.88,-14.26,2943.0,11385.0,2200.0
2026-33,585,Site1,475.0,0.0,-6717.0,439.26,-15.29,2943.0,11860.0,2200.0
2026-34,585,Site1,475.0,0.0,-7192.0,440.54,-16.33,2943.0,12335.0,2200.0
2026-35,585,Site1,475.0,0.0,-7667.0,441.72,-17.36,2943.0,12810.0,2200.0
2026-36,585,Site1,475.0,0.0,-8142.0,442.83,-18.39,2943.0,13285.0,2200.0
2026-37,585,Site1,300.0,0.0,-8442.0,438.23,-19.26,2943.0,13585.0,2200.0
2026-38,585,Site1,300.0,0.0,-8742.0,433.91,-20.15,2943.0,13885.0,2200.0
2026-39,585,Site1,300.0,0.0,-9042.0,429.85,-21.04,2943.0,14185.0,2200.0
2026-40,585,Site1,300.0,0.0,-9342.0,426.03,-21.93,2943.0,14485.0,2200.0
2026-41,585,Site1,375.0,0.0,-9717.0,424.57,-22.89,2943.0,14860.0,2200.0
2026-42,585,Site1,375.0,0.0,-10092.0,423.19,-23.85,2943.0,15235.0,2200.0
2026-43,585,Site1,375.0,0.0,-10467.0,421.89,-24.81,2943.0,15610.0,2200.0
2026-07,586,Site1,175.0,660.0,1683.0,175.0,9.62,1198.0,175.0,660.0
2026-08,586,Site1,175.0,0.0,1508.0,175.0,8.62,1198.0,350.0,660.0
2026-09,586,Site1,175.0,0.0,1333.0,175.0,7.62,1198.0,525.0,660.0
2026-10,586,Site1,175.0,1840.0,2998.0,175.0,17.13,1198.0,700.0,2500.0
2026-11,586,Site1,175.0,0.0,2823.0,175.0,16.13,1198.0,875.0,2500.0
2026-12,586,Site1,175.0,0.0,2648.0,175.0,15.13,1198.0,1050.0,2500.0
2026-13,586,Site1,175.0,0.0,2473.0,175.0,14.13,1198.0,1225.0,2500.0
2026-14,586,Site1,175.0,0.0,2298.0,175.0,13.13,1198.0,1400.0,2500.0
2026-15,586,Site1,240.0,0.0,2058.0,182.22,11.29,1198.0,1640.0,2500.0
2026-16,586,Site1,240.0,0.0,1818.0,188.0,9.67,1198.0,1880.0,2500.0
2026-17,586,Site1,240.0,0.0,1578.0,192.73,8.19,1198.0,2120.0,2500.0
2026-18,586,Site1,240.0,0.0,1338.0,196.67,6.8,1198.0,2360.0,2500.0
2026-19,586,Site1,275.0,0.0,1063.0,202.69,5.24,1198.0,2635.0,2500.0
2026-20,586,Site1,275.0,0.0,788.0,207.86,3.79,1198.0,2910.0,2500.0
2026-21,586,Site1,275.0,0.0,513.0,212.33,2.42,1198.0,3185.0,2500.0
2026-22,586,Site1,275.0,0.0,238.0,216.25,1.1,1198.0,3460.0,2500.0
2026-23,586,Site1,275.0,0.0,-37.0,219.71,-0.17,1198.0,3735.0,2500.0
2026-24,586,Site1,275.0,0.0,-312.0,222.78,-1.4,1198.0,4010.0,2500.0
2026-25,586,Site1,275.0,0.0,-587.0,225.53,-2.6,1198.0,4285.0,2500.0
2026-26,586,Site1,275.0,0.0,-862.0,228.0,-3.78,1198.0,4560.0,2500.0
2026-27,586,Site1,275.0,0.0,-1137.0,230.24,-4.94,1198.0,4835.0,2500.0
2026-28,586,Site1,180.0,0.0,-1317.0,227.95,-5.78,1198.0,5015.0,2500.0
2026-29,586,Site1,180.0,0.0,-1497.0,225.87,-6.63,1198.0,5195.0,2500.0
2026-30,586,Site1,180.0,0.0,-1677.0,223.96,-7.49,1198.0,5375.0,2500.0
2026-31,586,Site1,180.0,0.0,-1857.0,222.2,-8.36,1198.0,5555.0,2500.0
2026-32,586,Site1,225.0,0.0,-2082.0,222.31,-9.37,1198.0,5780.0,2500.0
2026-33,586,Site1,225.0,0.0,-2307.0,222.41,-10.37,1198.0,6005.0,2500.0
2026-34,586,Site1,225.0,0.0,-2532.0,222.5,-11.38,1198.0,6230.0,2500.0
2026-35,586,Site1,225.0,0.0,-2757.0,222.59,-12.39,1198.0,6455.0,2500.0
2026-36,586,Site1,225.0,0.0,-2982.0,222.67,-13.39,1198.0,6680.0,2500.0
2026-37,586,Site1,140.0,0.0,-3122.0,220.0,-14.19,1198.0,6820.0,2500.0
2026-38,586,Site1,140.0,0.0,-3262.0,217.5,-15.0,1198.0,6960.0,2500.0
2026-39,586,Site1,140.0,0.0,-3402.0,215.15,-15.81,1198.0,7100.0,2500.0
2026-40,586,Site1,140.0,0.0,-3542.0,212.94,-16.63,1198.0,7240.0,2500.0
2026-41,586,Site1,175.0,0.0,-3717.0,211.86,-17.54,1198.0,7415.0,2500.0
2026-42,586,Site1,175.0,0.0,-3892.0,210.83,-18.46,1198.0,7590.0,2500.0
2026-43,586,Site1,175.0,0.0,-4067.0,209.86,-19.38,1198.0,7765.0,2500.0
2026-07,587,Site1,8.75,0.0,191.25,8.75,21.86,200.0,8.75,0.0
2026-08,587,Site1,8.75,0.0,182.5,8.75,20.86,200.0,17.5,0.0
2026-09,587,Site1,8.75,0.0,173.75,8.75,19.86,200.0,26.25,0.0
2026-10,587,Site1,8.75,80.0,245.0,8.75,28.0,200.0,35.0,80.0
2026-11,587,Site1,8.75,0.0,236.25,8.75,27.0,200.0,43.75,80.0
2026-12,587,Site1,8.75,0.0,227.5,8.75,26.0,200.0,52.5,80.0
2026-13,587,Site1,8.75,0.0,218.75,8.75,25.0,200.0,61.25,80.0
